old_id,new_id,old_index,new_index,old_damage_gra,new_damage_gra,old_damage_percent,new_damage_percent,old_geometry_hash,new_geometry_hash,iou,overlap_m2,centroid_distance_m,old_area_m2,new_area_m2,area_ratio,old_centroid_lat,old_centroid_lon,new_centroid_lat,new_centroid_lon,has_before_after_vlm,vlm_reuse_eligible,remap_action,notes
ems_00043,aoi12_v2_00065,43,65,Damaged,Damaged,70,70,7a94860e329088b0b57f6b43af36da6e930ee14254a10a06167cc062e11c107c,c6aaf7706db047378fb3f327589cdc36c42589a2ec88284676787112e55d0751,1.0,27036.878,0.0,27036.878,27036.878,1.0,10.608102335928654,-67.02137153909818,10.608102335928654,-67.02137153909818,True,True,reuse_geometry_minor_change,Geometry drift is below reuse threshold.
ems_00044,aoi12_v2_00056,44,56,Possibly damaged,Possibly damaged,35,35,81f19e59cbab8b13b922fb8aede3865246c6eaa7a65b402a1f86b89fa615c326,2aba5b02248daaaaa7e06d5de46bd07c5c1e5d60f1d08e66f02b8aff2407d0f3,1.0,116566.604,0.0,116566.604,116566.604,1.0,10.608856553324145,-66.99849279993809,10.608856553324145,-66.99849279993809,True,True,reuse_geometry_minor_change,Geometry drift is below reuse threshold.
ems_00045,aoi12_v2_00069,45,69,Damaged,Damaged,70,70,caeb06df66094f6a2e642d82dbfaabd23b5e45eab72728ac07a227e50694b2a6,290e9067d22559b57707d017f2b92dae15b5e5204aa3f235a26fd012ea457376,1.0,14933.316,0.0,14933.316,14933.316,1.0,10.60884542611988,-67.0173096437577,10.60884542611988,-67.0173096437577,True,True,reuse_geometry_minor_change,Geometry drift is below reuse threshold.
ems_00046,aoi12_v2_00070,46,70,Damaged,Damaged,70,70,72aff369e7a6e8f5cd3078e6ed16cf7f522ca75a171d3e618f3b6d71fdc41017,414e6062f31a5b44970bb4eebccc050cda6b526c0512b07ea71f3244feb26102,1.0,15069.697,0.0,15069.697,15069.697,1.0,10.608858686490045,-67.01579741979104,10.608858686490045,-67.01579741979104,True,True,reuse_geometry_minor_change,Geometry drift is below reuse threshold.
ems_00047,aoi12_v2_00057,47,57,Damaged,Damaged,70,70,f9742135b28ad13e38239d1b6fd62f398588ab26ed082ea0799b4030d47f1976,f716a2f10573ca68621ea58f72caf88c65589f7a99acc4691aff512ebd480655,1.0,11446.045,0.0,11446.045,11446.045,1.0,10.608830490181907,-67.01444410287277,10.608830490181907,-67.01444410287277,True,True,reuse_geometry_minor_change,Geometry drift is below reuse threshold.
ems_00048,aoi12_v2_00113,48,113,Damaged,Damaged,70,70,da441c48d81bc1dea3fbcc661e9e6b1338da9d55deb2de8f423f806984d6a5a4,4d646893bf355c7bc2db319ba1abc4320b2e15a1c076d69b0ba64d543d4f95d5,1.0,16308.16,0.0,16308.16,16308.16,1.0,10.609780150233842,-67.00975238626145,10.609780150233842,-67.00975238626145,True,True,reuse_geometry_minor_change,Geometry drift is below reuse threshold.
ems_00049,aoi12_v2_00115,49,115,Damaged,Damaged,70,70,e38adaa96d05f576aedfaf9a380673d0a2ee338ae933034447d0208f06ff8ce9,c851defb57f5ee6e92235d9384239b7ac09f61b6fcef3347214d205da2ff8f48,1.0,13867.761,0.0,13867.761,13867.761,1.0,10.609725752803953,-67.01313354636407,10.609725752803953,-67.01313354636407,True,True,reuse_geometry_minor_change,Geometry drift is below reuse threshold.
ems_00050,aoi12_v2_00116,50,116,Destroyed,Destroyed,100,100,be52407ba7508a13e65a21082cc5b020cfbde1c726ac9bbaf1fdbdf35fe9bbd6,f9221e188b0ca19c74aecaac50c92eb218b5f246adba86e568abaa659e2be5f1,1.0,7029.133,0.0,7029.133,7029.133,1.0,10.609678709767286,-67.0146437760432,10.609678709767286,-67.0146437760432,True,True,reuse_geometry_minor_change,Geometry drift is below reuse threshold.
ems_00051,aoi12_v2_00117,51,117,Damaged,Damaged,70,70,9f9768dd5882a2d3ae4c610387e4d0c27f41efcacc04001a057bf055f38f6b00,1b2643c7dd97e81c2df1900257c36f9d50f5b63ee131d50c08db95fbb39bf296,1.0,13519.746,0.0,13519.746,13519.746,1.0,10.609734505794812,-67.01165982697339,10.609734505794812,-67.01165982697339,True,True,reuse_geometry_minor_change,Geometry drift is below reuse threshold.
ems_00052,aoi12_v2_00118,52,118,Damaged,Damaged,70,70,a9ea746e249ce01e178d8097752c694923bdf7b1e1f7b291a9a3510340425e38,1796aac49cddf5f189952381d0f9a18669d02e62b05b1550c4fde173dbf177f2,1.0,16890.801,0.0,16890.801,16890.801,1.0,10.609794598645216,-66.98620763310747,10.609794598645216,-66.98620763310747,True,True,reuse_geometry_minor_change,Geometry drift is below reuse threshold.
