source_layer,source_id,damaged_flag,max_damage_pct,damage_pct_0m,damage_pct_10m,damage_pct_20m,unknown_pct,lon,lat,google_maps
caraballeda_east,5088,1,1.0,1.0,1.0,0.9827324478178369,0.0,-66.8485515,10.6185603,"https://www.google.com/maps/search/?api=1&query=10.6185603,-66.8485515"
caraballeda_east,5089,1,1.0,1.0,0.929174759474231,0.767300172774393,0.0,-66.8487391,10.6185683,"https://www.google.com/maps/search/?api=1&query=10.6185683,-66.8487391"
caraballeda_east,5090,1,1.0,1.0,0.8555615843733044,0.7787314582508033,0.0,-66.8484584,10.6185794,"https://www.google.com/maps/search/?api=1&query=10.6185794,-66.8484584"
caraballeda_east,5100,1,1.0,1.0,0.6304077573346594,0.4890215716486903,0.0,-66.8491969,10.6187449,"https://www.google.com/maps/search/?api=1&query=10.6187449,-66.8491969"
caraballeda_east,5109,1,1.0,1.0,0.9140131855800252,0.786783042394015,0.0,-66.8484478,10.6187025,"https://www.google.com/maps/search/?api=1&query=10.6187025,-66.8484478"
caraballeda_east,5111,1,1.0,1.0,0.4585691188358933,0.37309184993531697,0.0,-66.8483481,10.6188918,"https://www.google.com/maps/search/?api=1&query=10.6188918,-66.8483481"
caraballeda_east,5141,1,1.0,1.0,0.746802557953637,0.47587243279345465,0.0,-66.8518787,10.6189289,"https://www.google.com/maps/search/?api=1&query=10.6189289,-66.8518787"
caraballeda_east,5186,1,1.0,1.0,0.678996036988111,0.6335435779816514,0.0,-66.8525905,10.618441,"https://www.google.com/maps/search/?api=1&query=10.6184410,-66.8525905"
caraballeda_east,5189,1,1.0,1.0,0.8389086152121099,0.6425974986137638,0.0,-66.8524035,10.6184956,"https://www.google.com/maps/search/?api=1&query=10.6184956,-66.8524035"
caraballeda_east,5191,1,1.0,1.0,0.982992581870816,0.8484591632863111,0.0,-66.8526287,10.6185308,"https://www.google.com/maps/search/?api=1&query=10.6185308,-66.8526287"
caraballeda_east,5195,1,1.0,1.0,0.9741544823512036,0.847024128686327,0.0,-66.8526965,10.6185507,"https://www.google.com/maps/search/?api=1&query=10.6185507,-66.8526965"
caraballeda_east,5197,1,1.0,1.0,0.7690945317688731,0.586716621253406,0.0,-66.8530403,10.6186198,"https://www.google.com/maps/search/?api=1&query=10.6186198,-66.8530403"
caraballeda_east,5198,1,1.0,1.0,0.8947023341201154,0.7156828674973936,0.0,-66.8527895,10.618637,"https://www.google.com/maps/search/?api=1&query=10.6186370,-66.8527895"
caraballeda_east,5200,1,1.0,1.0,0.6189274447949527,0.5328534636465694,0.0,-66.8528925,10.6186967,"https://www.google.com/maps/search/?api=1&query=10.6186967,-66.8528925"
caraballeda_east,7913,1,1.0,1.0,0.698621454603074,0.49091112478326526,0.0,-66.846987,10.6121479,"https://www.google.com/maps/search/?api=1&query=10.6121479,-66.8469870"
caraballeda_east,7974,1,1.0,1.0,0.8285899094437258,0.4129181735985534,0.0,-66.8422468,10.6107022,"https://www.google.com/maps/search/?api=1&query=10.6107022,-66.8422468"
caraballeda_east,8000,1,1.0,1.0,0.6955582973473164,0.4010974987238387,0.0,-66.8427376,10.6112639,"https://www.google.com/maps/search/?api=1&query=10.6112639,-66.8427376"
caraballeda_east,8028,1,1.0,1.0,0.7930730200750055,0.5722139269716302,0.0,-66.8413852,10.6125254,"https://www.google.com/maps/search/?api=1&query=10.6125254,-66.8413852"
caraballeda_east,8029,1,1.0,1.0,0.9870967741935484,0.7372875571633336,0.0,-66.8410073,10.6125635,"https://www.google.com/maps/search/?api=1&query=10.6125635,-66.8410073"
caraballeda_east,8030,1,1.0,1.0,0.9167752018754884,0.676050753370341,0.0,-66.8409071,10.6125777,"https://www.google.com/maps/search/?api=1&query=10.6125777,-66.8409071"
caraballeda_east,8493,1,1.0,1.0,0.789145529261726,0.3347051469056053,0.0,-66.8367687,10.6100799,"https://www.google.com/maps/search/?api=1&query=10.6100799,-66.8367687"
